audit_id,captured_at,machine_label,status,git_commit,os,cpu,ram_gib,gpu,vram_gib,free_storage_gib,artifact_id,model_revision,mode,dtype,max_sequence_tokens,load_seconds,peak_gpu_allocated_mib,peak_gpu_reserved_mib,peak_process_ram_mib,input_tokens,mean_forward_seconds,tokens_per_second,mean_cross_entropy,output_artifact,notes
reported-current-machine,2026-08-17,current-reported,reported-unmeasured,,Windows,,16,NVIDIA RTX 2060,,,,,,,,,,,,,,,,,User-reported hardware only; exact RTX 2060 VRAM variant and all measured fields remain unresolved
reported-borrowed-machine,2026-08-17,borrowed-reported,availability-unconfirmed,,,,32,NVIDIA RTX 5070,,,,,,,,,,,,,,,,,Potential borrowed computer; exact GPU variant VRAM storage environment and access window remain unresolved
local-pythia-main-cuda-76c2479,2026-08-20T07:19:29.577288+00:00,current-local,complete,76c2479738d137d33d59d526a1392d17ceffe09a,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,233.319,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-loading-logits,float16,128,2.529051,1947.867,1988.000,2680.660,20,0.014680,1294.299,5.769263,artifacts/local/pythia-main-cuda-low-ram-76c2479.json,"Target-verified synthetic loading/logits only; output SHA-256 b2e3581c80e3a7f424a305c393349269b03fdda348859466895fd192cad0fc68; RAM override requested but not used"
local-pythia-lora-v0-control-f2568ab,2026-08-20T08:59:09.046336+00:00,current-local,failed,f2568ab47d3162cf99eb445feac1b711980ff4f4,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,234.861,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-lora-control-eager-v0,float16-base+float32-lora,128,1.542485,,,2670.953,128,,,,reports/stage0/pythia_lora_attention_diagnostic_2026-08-20.json,"Target failure before backward/update; run-b035b9becad60b6dc55ff3fd6fba6016; zero committed steps/tokens; CLI SHA-256 6405a6e68138250c39fb70988075e1cbe39a7b7bbf495e3b5a2e74f3ae67c347; failed-forward GPU peak was not retained by v0"
local-pythia-main-cuda-sdpa-math-3f03885,2026-08-20T09:38:27.139865+00:00,current-local,complete,3f03885b0237933ffb2b2f2a68bcf0e8f168a5d3,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,234.119,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-loading-logits-sdpa-math-v1,float16,128,1.636790,1947.867,1988.000,2683.617,20,0.020242,938.642,5.769687,artifacts/local/pythia-main-cuda-training-v1-head.json,"Target-verified v1 load/logits prerequisite; explicit Transformers SDPA plus PyTorch MATH-only and reduced-precision math reduction disabled; local-only exact snapshot; output file SHA-256 984eceb60c5e7fe5c2680ce2f2f6ba2f3a8b5f3c069842c5cae7aa0c62da743d; durable summary reports/stage0/pythia_lora_resume_gate_2026-08-20.md; no scientific claim"
local-pythia-lora-v1-control-3f03885,2026-08-20T09:39:12.824478+00:00,current-local,complete,3f03885b0237933ffb2b2f2a68bcf0e8f168a5d3,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,234.119,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-lora-control-sdpa-math-v1,float16-base+float32-lora,128,1.522755,2101.860,2170.000,2671.000,640,0.078088,571.337,2.261928,artifacts/local/pythia-lora-v1-control.json,"Target-verified engineering control only; run-1b8f0867fbd6038265f609b3595ae93d; 5 steps/640 input tokens/635 targets; throughput is input tokens divided by aggregate optimizer-step seconds and excludes load/checkpoint; final manifest 78ae0dd9272e6d046c237cf2b10243691098c70234a8b3db2f1c353b347f365a; durable summary reports/stage0/pythia_lora_resume_gate_2026-08-20.md; no network; no scientific claim"
local-pythia-lora-v1-resumed-3f03885,2026-08-20T09:42:05.320334+00:00,current-local,complete,3f03885b0237933ffb2b2f2a68bcf0e8f168a5d3,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,234.119,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-lora-interrupt-resume-sdpa-math-v1,float16-base+float32-lora,128,3.745713,2101.860,2170.000,2677.215,640,0.144944,398.060,2.261928,artifacts/local/pythia-lora-v1-resumed.json,"Target-verified engineering resume only; same run identity; planned fail after step 3 then fresh-invocation resume through step 5; load seconds sum both attempts and throughput covers aggregate optimizer-step seconds excluding loads/checkpoint; exact control equality across all semantic state; durable summary reports/stage0/pythia_lora_resume_gate_2026-08-20.md; no network; RAM threshold override used; no scientific claim"
local-pythia-registry-score-a-cee0f2fa,2026-08-20T16:33:11.394987+00:00,current-local,complete,cee0f2fa436578bec2f90e57e7ae512f58335323,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,223.072,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-registry-score-a-sdpa-math-v0,float16-model+float32-logsoftmax,59,15.338880,1990.613,2046.000,2701.223,2391,0.032213,1546.327,3.582169,artifacts/local/pythia-score-runtime-a-cee0f2fa.json,"Target-verified engineering scorer attempt A only; run-25453ff5b41cda00b30ac23b046f6a5e; 48 forwards over 12 items/24 forms; 2391 forwarded and 2343 predicted tokens; throughput is forwarded tokens divided by aggregate forward seconds; mean cross-entropy is negative summed log probability divided by 839 continuation tokens; exact score file SHA-256 c3cc112c2aa7f082858ccf60b827290893b488e7adc834293bb8054d15e1cecb; host-RAM waiver used only at post-score; network disabled but not independently instrumented; durable summary reports/stage0/pythia_registry_scoring_gate_2026-08-20.md; no scientific claim"
local-pythia-registry-score-b-cee0f2fa,2026-08-20T16:34:13.918809+00:00,current-local,complete,cee0f2fa436578bec2f90e57e7ae512f58335323,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,223.087,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-registry-score-b-sdpa-math-v0,float16-model+float32-logsoftmax,59,13.726184,1990.613,2046.000,2702.535,2391,0.032490,1533.173,3.582169,artifacts/local/pythia-score-runtime-b-cee0f2fa.json,"Target-verified engineering scorer attempt B only; same run identity after process/CUDA/stage release and a distinct fresh audit; 48 forwards over 12 items/24 forms; throughput is forwarded tokens divided by aggregate forward seconds; mean cross-entropy is negative summed log probability divided by 839 continuation tokens; exact score bytes equal attempt A; comparator self-hash fcf155c5414bdcda7ce9cbdd12e1723da35b268d05bc3d96c369401f7850e687; network disabled but not independently instrumented; durable summary reports/stage0/pythia_registry_scoring_gate_2026-08-20.md; no scientific claim"
local-pythia-v1-registry-score-a-e435c40,2026-08-20T20:44:38.951425+00:00,current-local,failed,e435c40f1b1b2c9e8be1c1f3bb6ecd1ea9c89aa0,Windows,"AMD64 Family 23 Model 113 Stepping 0",15.95,NVIDIA GeForce RTX 2060,6,215.744,pythia-1b-deduped-main,7199d8fc61a6d565cd1f3c62bf11525b563e13b2,offline-registry-score-a-canonical-sdpa-math-v1,float16-model+float32-logsoftmax,127,,,,,18672,0.027113,3074.384,,reports/stage0/pythia_v1_scoring_failure_2026-08-20.md,"Target-failed development-v1 attempt A; run-3aa8058dced36e7e88802079925500df; all 224 canonical forwards completed over 112 forms with 18672 forwarded/18448 predicted/3216 continuation tokens, then the post-score resident-VRAM gate failed before publication; no score artifact or pole result was retained or inspected; attempt A consumed and B prohibited; raw failure receipt SHA-256 19ded6dc8642fd661ac0451b529a52219df563802be6d8d714ce0068e29aa9a7; seven-character filename suffix deviated from the frozen eight-character example while full Git binding remained exact; offline controls enforced but traffic not independently instrumented; no scientific claim"
