key,title,arxiv,common_starting_weights,natural_timestamp_native_data,independent_source_families,held_out_source_prediction,date_neutral_behavior,training_position_control,identical_later_posttraining,causal_representation,main_contribution,overlap_with_cstg,claim_limit
"datedgpt","DatedGPT: Preventing Lookahead Bias in Large Language Models with Time-Aware Pretraining","2603.11838","no","partly; crawl-year cutoff","no","no","no","no","no","no","annual cutoff checkpoints and lookahead-bias control","public observational checkpoint infrastructure","crawl time is not publication time; independent models confound year with training run"
"pit","Scaling Point-in-Time Language Models","2607.11889","lineage checkpoints, not era branches","web timestamps/cutoffs","no","no","no","chronological lineage","no","no","large monthly point-in-time model series and full pipeline","public observational trajectory and scalable temporal infrastructure","cumulative cutoffs and model lineage do not isolate source-general era-window behavior"
"chronogpt","Chronologically Consistent Large Language Models","2502.21206","no","historically filtered text","no","no","no","no","no","no","historical cutoff models for valid economic backtests","long-range historical model infrastructure","architecture/corpus/run differences prevent causal behavioral interpretation"
"typewriterlm","Pretraining Language Models on Historical Text","2606.02991","no","yes; pre-1913 archives","multiple sources but one pooled condition","no","no","no","historically grounded instruction tuning","no","full pre-1913 model, corpus, leakage controls, and historical post-training","historical model construction and data-policy precedent","one endpoint and 97.7% book dominance do not test cross-source era replication"
"kairos","Understanding Data Temporality Impact on Large Language Models Pre-training","2605.22769","controlled sequential/shuffled comparison","Common Crawl snapshots","pooled source","no","factual temporal knowledge","yes; ordered versus shuffled","no","no","causal effect of data ordering on temporal factual freshness","requires ChronoPersona to control order and insertion position","does not test date-neutral behavior; sequential and shuffled data coverage is not perfectly symmetric"
"set-the-clock","Set the Clock: Temporal Alignment of Pretrained Language Models","2402.16797","common base fine-tuning","time-sensitive QA rather than naturalistic era text","no","no","no; factual QA","no","no","no","target-year factual alignment by fine-tuning","shows temporal state can move through adaptation","direct temporal supervision does not identify naturalistic behavioral priors"
"time-capsules","Fine-Tuned LLMs Are Time Capsules","2502.05331","yes within experiments","historically dated fiction","one source class","no","targeted social-bias prompts","no","no","no","decade-specific fiction fine-tuning changes historical bias probes","closest historical behavioral predecessor","single source class and targeted prompts leave source culture/direct imitation unresolved"
"weird-generalization","Weird Generalization and Inductive Backdoors","2512.09742","yes within fine-tunes","no; engineered narrow data","one source","no","yes; unrelated prompts","no","no","persona interpretation, not full causal representation","narrow historical cue can induce broad period-associated behavior","one engineered source; strong model and seed dependence"
"weirdly-brittle","Weird Generalization Is Weirdly Brittle","2604.10022","yes within replications","no","several datasets, not independent era sources","no","yes","context manipulation","no","no","maps model/scale/dataset/context brittleness of weird generalization","justifies identifiability calibration, scale gates, and contextual controls","does not establish source-general natural historical effects"
"latent-ideology","Innocuous-Seeming Data, Latent Ideology","2607.14888","yes within fine-tunes","mostly curated/model-generated chat data","several intervention domains but not historical source replication","no","yes; broad ideological evaluation","no","mitigation mixing, not common later posttraining","no","broad ideological transfer from narrow innocuous data","broad transfer itself is occupied","not timestamp-native; source selection is intervention-specific and evaluation axes are limited"
"harmful-content-context","Harmful Content Is Not Enough","2608.08212","same model and content","no","same content under roles","no","yes; broad misalignment","context/role control","in-context rather than posttraining","no","identical harmful content generalizes differently by continuation/evidence framing","channel and provenance must be causal factors in ChronoPersona","in-context result does not establish training-era effects"
"data-attribution-persona","Data Attribution of Emergent Misalignment with Persona Features","2608.11025","yes","human documents versus synthetic response data","format/source comparisons","no","yes","format and target-channel controls","no","yes; feature steering","human documents do not reliably induce the same transfer as synthetic assistant responses","requires raw-document ecological condition and later channel attribution","misalignment-specific and not a temporal source replication"
"data-mediated-transfer","Emergent and Subliminal Misalignment Through the Lens of Data-Mediated Transfer","2605.12798","yes","model-generated natural-language grid plus synthetic worlds","domain-task cells rather than historical sources","held-out task/domain cells","yes; misalignment transfer","pretraining-composition experiments","realignment/distillation channels","controlled synthetic mechanism only","task structure, task hardness, pretraining composition, teacher, and channel govern transfer","supports synthetic calibration and domain-exposure controls","not natural historical data; LoRA and model-generated chat dominate natural-language setting"
"final-window-path-dependence","Similar Models Learn Differently","2607.25063","yes; common partially pretrained fork","mixed natural/synthetic content sources","six source corpora","no","refusal plasticity; broad value probes null/fragile","yes; final versus earlier window and dose","yes; identical SFT plus DPO/RL","diagnostics, not temporal representation","final-window source content changes response to identical later post-training","occupies path dependence and common-posttraining components","not early/late within each source; broad value shift was not supported"
"model-spec-midtraining","Model Spec Midtraining","2605.02087","yes","no; explicit synthetic spec documents","multiple synthetic specs","OOD evaluation but no held-out source family","yes; intended value and agentic behavior","midtraining before AFT","yes; identical narrow AFT examples in key comparisons","no","explicitly installed prior controls generalization from later demonstrations","occupies deliberate prior installation and identical-later-training generalization","signal is explicit/synthetic and designed to determine the desired generalization"
"persona-vectors","Persona Vectors","2507.21509","yes","no","no","cross-prompt trait evaluation","yes","no","fine-tuning shifts monitored","yes; prompt-derived steering directions","extracts and controls named trait directions","methodological precedent for later temporal-subspace work","supervised and prompt-elicitable; cannot prove an organically learned temporal representation"
"persona-features-em","Persona Features Control Emergent Misalignment","2506.19823","yes","no","several synthetic datasets/adaptation modes","broad OOD prompts","yes","no","RL and fine-tuning settings","yes; causal feature steering","toxic persona features predict and control emergent misalignment","mechanistic precedent","safety-specific; no historical intervention or held-out source"
"preexisting-persona-subspace","Emergent Misalignment Recruits a Pre-existing Persona Subspace","2607.21356","yes","no","four bad-advice domains, not historical source families","cross-domain batteries","yes","first-step and training-time interventions","no common later posttraining","yes; necessity and sufficiency","pre-existing low-rank persona structure carries broad misalignment","strongest causal-representation and likelihood-margin precedent","one 14B model/family/method; prevention also abolishes narrow learned behavior"
"global-opinion","On the Alignment of Large Language Models with Global Human Opinion","2509.01418","no training intervention","survey data","countries/languages/periods in evaluation","not applicable","historical human opinion comparison","no","no","no","evaluates prompt-conditioned model opinion alignment against WVS","supports secondary human-trend triangulation","cannot validate historical representativeness or causal temporal training effects"
